teste,tipo,status,falhas,universo,pct_universo
source_not_null_main_internacao_procedimento_id_atendimento,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacao_procedimento_PROC_REA,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_CAR_INT,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_CNES,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_COMPLEX,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_CONTRACEP1,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_CONTRACEP2,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_DIAG_PRINC,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_DIAS_PERM,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_DT_SAIDA,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_DT_INTER,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_ESPEC,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_GESTRISCO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_IDADE,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_IND_VDRL,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_INSTRU,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_MARCA_UTI,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_MORTE,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_MUNIC_RES,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_NACIONAL,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_NUM_FILHOS,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_N_AIH,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_RACA_COR,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_SEXO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_VAL_SH,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_VAL_SP,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_VAL_TOT,nulidade,pass,0,197312203,0.0000%
source_not_null_main_internacoes_VAL_UTI,nulidade,pass,0,13569682,0.0000%
source_not_null_main_internacoes_VINCPREV,nulidade,pass,0,197312203,0.0000%
source_not_null_main_marca_uti_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_marca_uti_MARCA_UTI,nulidade,pass,0,197312203,0.0000%
source_not_null_main_municipios_CO_MUNICIPIO_6D,nulidade,pass,0,197312203,0.0000%
source_not_null_main_municipios_NO_MUNICIPIO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_municipios_SG_UF,nulidade,pass,0,197312203,0.0000%
source_not_null_main_nacionalidade_DESCRICAO,nulidade,pass,0,197312203,0.0000%
source_not_null_main_nacionalidade_NACIONAL,nulidade,pass,0,197312203,0.0000%
source_not_null_main_procedimentos_NOME_PROC,nulidade,pass,0,197312203,0.0000%
source_not_null_main_procedimentos_PROC_REA,nulidade,pass,0,197312203,0.0000%
source_not_null_main_raca_cor_RACA_COR,nulidade,pass,0,197312203,0.0000%
